Meme ID,url,title,Meme Page URL,MD5 Hash,File Size (In Bytes),Alternate Text,Display Name,Upper Text,Lower Text,downvotes,upvotes
10179303,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179303.jpg,Annoying Facebook Girl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179303,5ca5f20593804146ed0f2a35ecfa3c91,42519,"?? ??? ???? ????? ?? ??,?????????????",Annoying Facebook Girl,?? ??? ???? ?????,"?? ??,?????????????",449,708
10179322,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179322.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179322,ae262cdc0cde42e6d29fdcd76f232c76,60160,3 cartas en la mano?! mulligan!!!,Insanity Wolf,3 cartas en la mano?!,mulligan!!!,450,366
10179347,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179347.jpg,Fat Girl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179347,23c8b2477073889986a3c97fd15cd41d,42041,? ????????? ???? ???? ??? ???????,Fat Girl,? ?????????,???? ???? ??? ???????,539,667
10179360,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179360.jpg,Business Cat,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179360,15d3c49a0257cd9bc086b0ab611e017a,50485,"Y asi fue como perdimos  la liga, la champions, y la supercopa",Business Cat,Y asi fue como perdimos ,"la liga, la champions, y la supercopa",297,243
10179404,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179404.jpg,Annoying Facebook Girl,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179404,583e510050bfad798020b3c37b765de2,40934,??????.   ?????? ??? ???????? ??? ?? ????????????,Annoying Facebook Girl,??????. - ?????? ??? ????????,???-?? ????????????,891,111
10179414,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179414.jpg,Joseph Ducreux,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179414,ba76822fd73619ef5a8defdbd801f6fa,56784,????????,Joseph Ducreux,????????,-,318,545
10179437,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179437.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179437,4d9eb8447da17240f70276fc1ebea7df,61906,tu vecino escucha reggaeton? Rompele la radio en la cara y quemale la casa,Insanity Wolf,tu vecino escucha reggaeton?,Rompele la radio en la cara y quemale la casa,114,710
10179440,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179440.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179440,b29eb3d8ff3d35f360cb2a6469054f5a,40651,"???????????? ?? ?????? ??? ???????, ??? ?   ????????!",Y U No,????????????,"?? ?????? ??? ???????, ??? ? - ????????!",78,35
10179445,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179445.jpg,Insanity Wolf,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179445,34de3dccfbe0138bb2aea82104a0ef4b,61376,tu oponente usa mazo elfo verde? lightning bolt hasta que muera!,Insanity Wolf,tu oponente usa mazo elfo verde?,lightning bolt hasta que muera!,396,130
10179446,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179446.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179446,e6c4da345f6344211de2f9ff5e344633,41481,"???????????? ?? ?????? ??? ???????, ??? ?   ????????!",Y U No,????????????,"?? ?????? ??? ???????, ??? ? - ????????!",455,424
10179488,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179488.jpg,Russian Boozer,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179488,edd710a675d4504421a70eb137474927,90779,"?? ?????? ? ????? ??? ????? ? ????? ??????? ??????  ?, ?, ? ????? ??????? ? ?????? ? ???? ? ??????: «?? ???? ????!!!»",Russian Boozer,?? ?????? ? ????? ??? ????? ? ????? ??????? ??????," ?, ?, ? ????? ??????? ? ?????? ? ???? ? ??????: «?? ???? ????!!!»",411,881
10179507,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179507.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179507,82d29d5f1354f79ee3a0aa386792b3ab,31429,?? ?????? ???? ???????? ? ????? ?????,Y U No,?? ?????? ???? ???????? ? ????? ?????,-,805,761
10179520,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179520.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179520,90ed09adfd1bf7344d18ce4dca98bda5,32676,?? ?????? ? ???? ??????? ????????!,Y U No,?? ?????? ? ???? ??????? ????????!,-,418,667
10179524,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179524.jpg,Kenita,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179524,aee6c63b926b41fdd9dfe6d4f4e9f85a,67052,agencia elmo supe que se van a titular,Kenita ,agencia elmo,supe que se van a titular,972,167
10179527,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179527.jpg,Socially Awkward Penguin,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179527,fce8f4edcf5dd9979d3004fe5f872188,49124,mira esta es la pagina hd es wena ir mostrando y salen puros picos y hueas fletas y se alejan de ti,Socially Awkward Penguin,mira esta es la pagina hd es wena,ir mostrando y salen puros picos y hueas fletas y se alejan de ti ,413,624
10179528,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179528.jpg,sunny_student,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179528,dbeffcbd9a42ac3173fc88c7d4939a74,46183,????? ????? ???????? ?? ??? ????????,sunny_student,????? ????? ????????,?? ??? ????????,547,428
10179537,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179537.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179537,ee90f270cf93f999ecfffe0eaa63c072,31452,?? ?????? ?? ????? ??????!,Y U No,?? ?????? ?? ????? ??????!,-,404,183
10179542,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179542.jpg,Advice Hitler,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179542,a7e09220d644cb150f8182bc3764a454,38012,14/88 ???????? ?????? ? ????? ???????,Advice Hitler,14/88,???????? ?????? ? ????? ???????,817,170
10179547,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179547.jpg,Y U No,http://webarchive.loc.gov/all/0/http://memegenerator.net/instance/10179547,d5c4686c529688865cd75626bb054c39,31401,?? ?????? ????? ??? ?????!,Y U No,?? ?????? ????? ??? ?????!,-,976,301
10179556,http://webarchive.loc.gov/all/0/http://cdn.meme.am/instances/250x250/10179556.jpg,Wrong Lyrics Christina Aguilera,http://memegenerator.net/instance/10179556,a5402f04d0cb8f419ec338088a084a80,44966,WE FOUND LOVE  IN A HORCRUX place,Wrong Lyrics Christina Aguilera,WE FOUND LOVE ,IN A HORCRUX place,965,935
